trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
60,01-02-2023 04:53,01-02-2023 05:05,38.913761,-77.027025,38.90088,-77.048911
61,01-02-2023 04:55,01-02-2023 05:02,38.90304,-77.019027,38.90276,-77.03863
62,01-02-2023 04:55,01-02-2023 05:15,38.91475111,-77.00356007,38.894722,-77.045128
63,01-02-2023 04:59,01-02-2023 05:18,38.89785817,-76.97963933,38.8997,-77.023086
64,01-02-2023 05:07,01-02-2023 05:13,39.11033883,-77.1827265,39.119765,-77.166093
65,01-02-2023 05:11,01-02-2023 05:14,38.894987,-77.09171033,38.891696,-77.0846
66,01-02-2023 05:11,01-02-2023 05:19,38.90088,-77.048911,38.915544,-77.038252
67,01-02-2023 05:14,01-02-2023 13:52,38.944013,-77.353552,38.944013,-77.353552
68,01-02-2023 05:18,01-02-2023 05:31,38.917716,-77.022684,38.905303,-77.050264
69,01-02-2023 05:19,01-02-2023 05:45,38.961737,-76.995922,38.968842,-76.954171
70,01-02-2023 05:22,01-02-2023 05:24,38.91,-77,38.91,-77.01
71,01-02-2023 05:22,01-02-2023 05:38,38.905697,-77.005483,38.915544,-77.038252
72,01-02-2023 05:23,01-02-2023 05:31,38.910972,-77.00495,38.89696,-77.00493
73,01-02-2023 05:23,01-02-2023 05:32,38.926102,-77.03665,38.903649,-77.034918
74,01-02-2023 05:24,01-02-2023 05:48,38.926102,-77.03665,38.926102,-77.03665
75,01-02-2023 05:25,01-02-2023 05:31,38.9256025,-77.02715917,38.915544,-77.038252
76,01-02-2023 05:28,01-02-2023 05:33,38.988562,-77.096539,38.999378,-77.097882
77,01-02-2023 05:28,01-02-2023 05:38,38.921074,-77.031887,38.9308,-77.0315
78,01-02-2023 05:30,01-02-2023 05:40,38.897274,-76.994749,38.881185,-77.001828
79,01-02-2023 05:30,01-02-2023 05:40,38.89222,-76.99602,38.907908,-76.99707
80,01-02-2023 05:32,01-02-2023 05:44,38.895377,-77.09713,38.88992,-77.071301
81,01-02-2023 05:32,01-02-2023 05:46,38.96,-77.07,38.92,-77.07
82,01-02-2023 05:32,01-02-2023 05:53,38.921986,-76.960696,38.90731645,-77.00069815
83,01-02-2023 05:34,01-02-2023 05:50,38.9418,-77.0251,38.918036,-77.045487
